StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500223031,3783,2796,987,12749,8388,4361,734,611,123
500223032,17266,11795,5471,0,0,0,0,0,0
500223033,7217,5318,1899,9302,5867,3435,747,610,137
500223034,3171,2088,1083,13755,9495,4260,340,212,128
500223035,741,406,335,16209,11188,5021,316,201,115
500223036,1584,1130,454,15682,10665,5017,0,0,0
500223037,4619,3398,1221,12646,8396,4250,0,0,0
500223038,4824,3379,1445,12404,8378,4026,38,38,0
500223039,1417,1078,339,15657,10562,5095,192,155,37
500223040,3136,2626,510,14130,9169,4961,0,0,0
500223041,2720,1692,1028,11352,8771,2581,3193,1331,1862
500223042,2524,1985,539,13457,8867,4590,1284,942,342
500223043,5880,4657,1223,11156,6947,4209,229,190,39
500223044,4279,3109,1170,12986,8685,4301,0,0,0
500223045,407,138,269,16780,11607,5173,78,49,29
500223046,815,603,212,15931,10838,5093,519,353,166
500223047,2225,1653,572,14739,9938,4801,301,203,98
500223048,5604,3845,1759,11649,7937,3712,12,12,0
500223049,2225,1684,541,14699,9808,4891,341,302,39
500223050,4740,3203,1537,12207,8312,3895,318,279,39
500223051,936,579,357,14946,10138,4808,1383,1077,306
500223052,3838,2866,972,13235,8848,4387,192,80,112
500223053,2484,2104,380,14386,9522,4864,395,168,227
500223054,841,677,164,16145,10951,5194,279,166,113
500223055,1833,1218,615,15277,10491,4786,155,85,70
500223056,5860,4380,1480,11046,7055,3991,359,359,0
500223057,1694,1014,680,14635,10469,4166,936,311,625
500223058,6391,4639,1752,10651,7045,3606,223,110,113
500223059,1914,1203,711,14985,10342,4643,366,249,117
500223060,3170,2497,673,13786,9147,4639,309,150,159
500223061,1463,1057,406,15538,10548,4990,264,189,75
500223063,2323,1889,434,14942,9905,5037,0,0,0
500223064,5776,4326,1450,11306,7352,3954,183,116,67
500223065,4909,3065,1844,12349,8727,3622,7,2,5
500224001,0,0,0,17190,11719,5471,76,76,0
500224002,2530,1947,583,13239,8899,4340,1497,949,548
500224003,2453,1581,872,13165,9262,3903,1648,952,696
500224004,1065,730,335,13688,9240,4448,2513,1825,688
500225001,12053,7690,4363,5213,4105,1108,8991,5968,3023
500225002,1551,931,620,14160,10057,4103,1555,807,748
500225003,4023,3050,973,11501,7623,3878,1741,1121,620
500225004,9479,6068,3411,7487,5612,1875,9290,6082,3208
500226002,12,12,0,17242,11783,5459,12,0,12
500226003,3417,3033,384,13831,8744,5087,18,18,0
500226005,4118,2488,1630,12568,8732,3836,580,575,5
500226006,2671,1809,862,14247,9688,4559,348,298,50
500226007,9340,6229,3111,7387,5117,2270,9529,6416,3113
500226008,11271,7202,4069,5919,4517,1402,9066,6043,3023
500227001,4730,3545,1185,12212,7995,4217,324,255,69
500227002,2341,1311,1030,14780,10404,4376,145,80,65
500227003,3397,2360,1037,13385,9253,4132,484,182,302
500227004,4444,3176,1268,12769,8603,4166,53,16,37
500227005,4432,3544,888,12492,7996,4496,342,255,87
500227006,1709,1492,217,14405,9529,4876,1152,774,378
500227007,3048,2530,518,13955,9263,4692,263,2,261
500227008,3675,3084,591,13299,8451,4848,292,260,32
500227009,3976,3268,708,12898,8286,4612,392,241,151
500227010,3611,2569,1042,13398,9017,4381,257,209,48
500227011,2732,1976,756,14469,9805,4664,65,14,51
500227012,7944,5062,2882,9277,6688,2589,45,45,0
500227013,3153,2501,652,14087,9274,4813,26,20,6
500227014,2488,2095,393,14671,9674,4997,107,26,81
500227015,3078,2500,578,13496,8794,4702,692,501,191
500227016,3787,2896,891,13158,8586,4572,321,313,8
500227018,7444,5715,1729,9822,6080,3742,0,0,0
500227019,2249,1964,285,14986,9816,5170,31,15,16
500227020,4365,3010,1355,12644,8596,4048,257,189,68
500227021,2664,1612,1052,14573,10183,4390,29,0,29
500227022,3634,2760,874,13631,9034,4597,1,1,0
500227023,4001,2947,1054,13265,8848,4417,0,0,0
500227024,5075,3700,1375,11891,7860,4031,300,235,65
500227025,3002,2405,597,13835,8961,4874,429,429,0
500227026,3247,2416,831,14019,9379,4640,0,0,0
500227027,3052,2610,442,14186,9175,5011,28,10,18
500227028,649,299,350,16595,11474,5121,22,22,0
500227029,5849,4793,1056,10300,5892,4408,1117,1110,7
500227030,4011,3170,841,13230,8612,4618,25,13,12
500227031,3847,3082,765,13261,8586,4675,158,127,31
